region,event_count,total_penalty_amount,high_risk_count,avg_risk_score
??,1,200.0,0,40.9
上海,8,248.0,0,48.175
北京,27,6141.621,7,53.766666666666666
吉林,2,0.0,0,55.4
四川省成都市,1,6299.7109,0,70.0
天津,1,177.8113,0,65.6
山东,4,4880.0,2,59.75
广东,15,1675.08,4,50.25333333333333
未知,1431,352388.2332,38,60.883158630328445
江苏,10,11220.3217,3,56.879999999999995
江苏南京,1,541.58,1,78.9
江苏省无锡市,1,224.0,0,66.2
江西,1,0.0,0,40.0
河南,1,0.0,0,34.5
浙江,8,200.0,1,52.6875
海南,2,0.0,0,30.0
海南省海口市,1,300.0,0,67.1
深圳,1,0.0,1,66.2
湖北,1,513.7736,1,78.7
湖北省武汉市,1,242.9623,1,76.5
湖南,1,0.0,0,30.0
甘肃,1,0.0,0,30.0
福建,1,800.0,1,80.0
贵州,1,12500.0,0,70.0
重庆,1,0.0,0,30.0
长春,2,0.0,0,64.94999999999999
黑龙江,1,0.0,1,62.8
